SolverPartName	circuitoId	ATTiny85	Teensy32	Details
DCMotorL	11698	FALSE	TRUE	
DFPlayer	336411	TRUE	TRUE	
DHT22	10167	TRUE	TRUE	
DHT223v3	!10167	TRUE	TRUE	
DHT225v	!10167	TRUE	TRUE	
DS18B20	245	TRUE	TRUE	
DS18B20WP	11050	TRUE	TRUE	https://github.com/zagor/tinytemp/blob/master/tinytemp.ino
ESP32DevKitC	360217	FALSE	FALSE	
ESP32DevKitCEXT	!360217	FALSE	FALSE	
ESP32DevKitCUSB	!360217	FALSE	FALSE	
ESP8266	13678	FALSE	FALSE	
ESP8266_HardwareSerial3v3	!13678	FALSE	FALSE	
ESP8266_HardwareSerial5v	!13678	FALSE	FALSE	
ESP8266_SoftwareSerial3v3	!13678	FALSE	FALSE	
ESP8266_SoftwareSerial5v	!13678	FALSE	FALSE	
EthernetModule	299273	FALSE	TRUE	
FingerprintScanner	11792	TRUE	TRUE	https://www.instructables.com/id/DIY-Fingerprint-Scanning-Garage-Door-Opener/
FingerprintScanner3v3	!11792	TRUE	TRUE	
FingerprintScanner5v	!11792	TRUE	TRUE	
Flex	8606	TRUE	TRUE	
Flex3v3	!8606	TRUE	TRUE	
Flex5v	!8606	TRUE	TRUE	
FloatSwitch	561143	TRUE	TRUE	
FloatSwitch3v3	!561143	TRUE	TRUE	
FloatSwitch5v	!561143	TRUE	TRUE	
floraRGBNeoPixel2	214077	TRUE	TRUE	
FSR	9375	TRUE	TRUE	
FSR3v3	!9375	TRUE	TRUE	
FSR5v	!9375	TRUE	TRUE	
FSRSquare	9376	TRUE	TRUE	
FSRSquare3v3	!9376	TRUE	TRUE	
FSRSquare5v	!9376	TRUE	TRUE	
FTDI_DATA	1514678	FALSE	FALSE	
FTDI_DATA3v3	!1514678	FALSE	FALSE	
FTDI_DATA5v	!1514678	FALSE	FALSE	
GestureSensorZX	416021	FALSE	TRUE	
GestureSensorZX3v3	!416021	FALSE	TRUE	
GestureSensorZX5v	!416021	FALSE	TRUE	
GPSNeo6M	975601	FALSE	TRUE	
GPSNeo6M_HardwareSerial1	!975601	FALSE	TRUE	
GPSNeo6M_HardwareSerial2	!975601	FALSE	TRUE	
GPSNeo6M_SoftwareSerial	!975601	FALSE	TRUE	
GPSUltimateADA	488167	TRUE	TRUE	http://www.technoblogy.com/show?RPG
GPSUltimateADA_HardwareSerial	!488167	FALSE	TRUE	
GPSUltimateADA_SoftwareSerial	!488167	TRUE	TRUE	
GraphicLCD	8799	FALSE	TRUE	
GUVA-S12SD	134251	TRUE	TRUE	
GUVA-S12SD3v3	!134251	TRUE	TRUE	
GUVA-S12SD5v	!134251	TRUE	TRUE	
Gyro	11977	TRUE	TRUE	
HallA1302	2331989	TRUE	TRUE	
HallA13023v3	!2331989	TRUE	TRUE	
HallA13025v	!2331989	TRUE	TRUE	
HallU1881	9312	TRUE	TRUE	
HallU18813v3	!9312	TRUE	TRUE	
HallU18815v	!9312	TRUE	TRUE	
HCSR04	13959	TRUE	TRUE	
HCSR04_Gemma	!13959	TRUE	TRUE	
HCSR043v3	!13959	TRUE	TRUE	
HCSR045v	!13959	TRUE	TRUE	
HeartPulseSensor	11574	TRUE	TRUE	
HeartPulseSensor3v3	!11574	TRUE	TRUE	
HeartPulseSensor5v	!11574	TRUE	TRUE	
HeartRateGravity	133979	TRUE	TRUE	
HeartRateGravity-3v3	!133979	TRUE	TRUE	
HeartRateGravity-5v	!133979	TRUE	TRUE	
HMC5883L	1234567	TRUE	TRUE	
HTU21D-F	690029	FALSE	TRUE	
HTU21D-F3v3	!690029	FALSE	TRUE	
HTU21D-F5v	!690029	FALSE	TRUE	
IRBreak	669681	TRUE	TRUE	
IRBreak3v3	!669681	TRUE	TRUE	
IRBreak5v	!669681	TRUE	TRUE	
IRCamera	908638	FALSE	TRUE	
IRCamera3v3	!908638	FALSE	TRUE	
IRCamera5v	!908638	FALSE	TRUE	
IRFlame	223347	TRUE	TRUE	
IRFlame3v3	!223347	TRUE	TRUE	
IRFlame5v	!223347	TRUE	TRUE	
IRLineFollow	485906	TRUE	TRUE	
IRLineFollow3v3	!485906	TRUE	TRUE	
IRLineFollow5v	!485906	TRUE	TRUE	
IRLineFollowArray	615959	TRUE	TRUE	
IRLineFollowSF	674690	TRUE	TRUE	
IRLineFollowSF3v3	!674690	TRUE	TRUE	
IRLineFollowSF5v	!674690	TRUE	TRUE	
IRObjAvoid	811437	TRUE	TRUE	
IRObjAvoid3v3	!811437	TRUE	TRUE	
